"annotation_id","annotator","choice","created_at","id","image","lead_time","updated_at"
21,"1","No-Truck","2025-01-24T08:55:43.848784Z",14420,"/data/upload/4/423bddd5-img_340.jpg",15.012,"2025-01-24T08:55:43.848784Z"
22,"1","Truck","2025-01-24T08:56:07.549137Z",14421,"/data/upload/4/afe8d17f-img_341.jpg",19.861,"2025-01-24T08:56:07.549137Z"
23,"1","No-Truck","2025-01-24T08:56:36.973922Z",14422,"/data/upload/4/aacb5d64-img_342.jpg",26.011,"2025-01-24T08:56:36.973922Z"
24,"1","No-Truck","2025-01-24T08:56:48.025453Z",14423,"/data/upload/4/ef3b3c70-img_343.jpg",1195.261,"2025-01-24T19:03:56.212683Z"
25,"1","No-Truck","2025-01-24T08:56:58.997891Z",14424,"/data/upload/4/8ee86fa4-img_344.jpg",7.616,"2025-01-24T08:56:58.997891Z"
26,"1","Truck","2025-01-24T08:57:12.534271Z",14425,"/data/upload/4/803ec180-img_345.jpg",68.71900000000001,"2025-01-24T19:05:07.451289Z"
27,"1","Truck","2025-01-24T08:58:01.877450Z",14426,"/data/upload/4/42090fd5-img_346.jpg",43.709,"2025-01-24T08:58:01.877450Z"
28,"1","Truck","2025-01-24T08:58:14.659341Z",14427,"/data/upload/4/c7f959d5-img_347.jpg",8.29,"2025-01-24T08:58:14.659341Z"
29,"1","No-Truck","2025-01-24T08:58:41.552282Z",14428,"/data/upload/4/c706e3fd-img_348.jpg",24.665,"2025-01-24T08:58:41.552282Z"
30,"1","No-Truck","2025-01-24T08:58:52.762255Z",14429,"/data/upload/4/4fd6ef04-img_349.jpg",7.291,"2025-01-24T08:58:52.762255Z"
31,"1","Truck","2025-01-24T08:59:04.486312Z",14430,"/data/upload/4/3ed5d50b-img_350.jpg",9.846,"2025-01-24T08:59:04.486312Z"
32,"1","No-Truck","2025-01-24T08:59:15.150730Z",14431,"/data/upload/4/ea01e169-img_351.jpg",8.676,"2025-01-24T08:59:15.150730Z"
33,"1","Truck","2025-01-24T08:59:23.959517Z",14432,"/data/upload/4/a0ffb28b-img_352.jpg",6.076,"2025-01-24T08:59:23.959517Z"
34,"1","Truck","2025-01-24T08:59:41.910562Z",14433,"/data/upload/4/344a75eb-img_353.jpg",8.97,"2025-01-24T08:59:41.910562Z"
35,"1","No-Truck","2025-01-24T09:00:03.066905Z",14434,"/data/upload/4/d629fbf4-img_354.jpg",19.526,"2025-01-24T09:00:03.066905Z"
36,"1","No-Truck","2025-01-24T09:02:36.668956Z",14435,"/data/upload/4/ee09c72a-img_355.jpg",150.755,"2025-01-24T09:02:36.668956Z"
37,"1","No-Truck","2025-01-24T09:03:42.283813Z",14436,"/data/upload/4/51e743d3-img_356.jpg",17.848,"2025-01-24T19:06:12.418651Z"
38,"1","Truck","2025-01-24T09:03:49.596972Z",14437,"/data/upload/4/a4e559e4-img_357.jpg",5.583,"2025-01-24T09:03:49.596972Z"
39,"1","No-Truck","2025-01-24T09:04:09.926798Z",14438,"/data/upload/4/7fb6da76-img_358.jpg",20.548000000000002,"2025-01-24T19:06:15.619751Z"
40,"1","Truck","2025-01-24T09:04:30.694838Z",14439,"/data/upload/4/6c53bf77-img_359.jpg",14.728,"2025-01-24T09:04:30.694838Z"
